"old.code","new.code","type.org","broad.category","major.group","univ","hosp","two.digit","further.category","division.subdivision"
"A01","AA-ART-A00","AA","ART","A",FALSE,FALSE,"01","","00"
"A0161","AA-ART-A61","AA","ART","A",FALSE,FALSE,"01","61","61"
"A02","MT-ART-A00","MT","ART","A",FALSE,FALSE,"02","","00"
"A0226","MT-ART-A26","MT","ART","A",FALSE,FALSE,"02","26","26"
"A0254","MT-ART-A54","MT","ART","A",FALSE,FALSE,"02","54","54"
"A0261","MT-ART-A61","MT","ART","A",FALSE,FALSE,"02","61","61"
"A0282","MT-ART-A82","MT","ART","A",FALSE,FALSE,"02","82","82"
"A0290","MT-ART-A90","MT","ART","A",FALSE,FALSE,"02","90","90"
"A03","PA-ART-A00","PA","ART","A",FALSE,FALSE,"03","","00"
"A0320","PA-ART-A20","PA","ART","A",FALSE,FALSE,"03","20","20"
"A0325","PA-ART-A25","PA","ART","A",FALSE,FALSE,"03","25","25"
"A0330","PA-ART-A30","PA","ART","A",FALSE,FALSE,"03","30","30"
"A0333","PA-ART-A33","PA","ART","A",FALSE,FALSE,"03","33","33"
"A0340","PA-ART-A40","PA","ART","A",FALSE,FALSE,"03","40","40"
"A0350","PA-ART-A50","PA","ART","A",FALSE,FALSE,"03","50","50"
"A0360","PA-ART-A60","PA","ART","A",FALSE,FALSE,"03","60","60"
"A0361","PA-ART-A61","PA","ART","A",FALSE,FALSE,"03","61","61"
"A0365","PA-ART-A65","PA","ART","A",FALSE,FALSE,"03","65","65"
"A0368","PA-ART-A68","PA","ART","A",FALSE,FALSE,"03","68","68"
"A0369","PA-ART-A69","PA","ART","A",FALSE,FALSE,"03","69","69"
"A0370","PA-ART-A70","PA","ART","A",FALSE,FALSE,"03","70","70"
"A0380","PA-ART-A80","PA","ART","A",FALSE,FALSE,"03","80","80"
"A05","RP-ART-A00","RP","ART","A",FALSE,FALSE,"05","","00"
"A0534","RP-ART-A34","RP","ART","A",FALSE,FALSE,"05","34","34"
"A0561","RP-ART-A61","RP","ART","A",FALSE,FALSE,"05","61","61"
"A11","MS-ART-A00","MS","ART","A",FALSE,FALSE,"11","","00"
"A1120","MS-ART-A20","MS","ART","A",FALSE,FALSE,"11","20","20"
"A1132","MS-ART-A32","MS","ART","A",FALSE,FALSE,"11","32","32"
"A1140","MS-ART-A40","MS","ART","A",FALSE,FALSE,"11","40","40"
"A1150","MS-ART-A50","MS","ART","A",FALSE,FALSE,"11","50","50"
"A1151","MS-ART-A51","MS","ART","A",FALSE,FALSE,"11","51","51"
"A1152","MS-ART-A52","MS","ART","A",FALSE,FALSE,"11","52","52"
"A1154","MS-ART-A54","MS","ART","A",FALSE,FALSE,"11","54","54"
"A1160","MS-ART-A60","MS","ART","A",FALSE,FALSE,"11","60","60"
"A1161","MS-ART-A61","MS","ART","A",FALSE,FALSE,"11","61","61"
"A1162","MS-ART-A62","MS","ART","A",FALSE,FALSE,"11","62","62"
"A1165","MS-ART-A65","MS","ART","A",FALSE,FALSE,"11","65","65"
"A1169","MS-ART-A69","MS","ART","A",FALSE,FALSE,"11","69","69"
"A1170","MS-ART-A70","MS","ART","A",FALSE,FALSE,"11","70","70"
"A1180","MS-ART-A80","MS","ART","A",FALSE,FALSE,"11","80","80"
