"","mg","description","bc","size","per"
"1","A","Arts, Culture & Humanities","Arts, Culture, and Humanities",855,0.0690741638390693
"2","B","Education","Education",1722,0.139117789626757
"3","C","Environment","Environment and Animals",307,0.0248020681854904
"4","D","Animal-Related","Environment and Animals",133,0.0107448699305219
"5","E","Health Care","Health",1753,0.141622232994022
"6","F","Mental Health & Crisis Intervention","Health",623,0.0503312328324447
"7","G","Voluntary Health Associations & Medical Disciplines","Health",309,0.0249636451769268
"8","H","Medical Research","Health",76,0.00613992567458394
"9","I","Crime & Legal-Related","Human Services",302,0.0243981257068993
"10","J","Employment","Human Services",303,0.0244789142026175
"11","K","Food, Agriculture & Nutrition","Human Services",145,0.0117143318791404
"12","L","Housing & Shelter","Human Services",926,0.0748101470350622
"13","M","Public Safety, Disaster Preparedness & Relief","Human Services",35,0.00282759735013734
"14","N","Recreation & Sports","Human Services",271,0.0218936823396348
"15","O","Youth Development","Human Services",297,0.0239941832283083
"16","P","Human Services","Human Services",2327,0.187994829536274
"17","Q","International, Foreign Affairs & National Security","International, Foreign Affairs",186,0.015026660203587
"18","R","Civil Rights, Social Action & Advocacy","Public, Societal Benefit",129,0.0104217159476491
"19","S","Community Improvement & Capacity Building","Public, Societal Benefit",572,0.046211019550816
"20","T","Philanthropy, Voluntarism & Grantmaking Foundations","Public, Societal Benefit",502,0.0405558248505413
"21","U","Science & Technology","Public, Societal Benefit",81,0.00654386815317499
"22","V","Social Science","Public, Societal Benefit",35,0.00282759735013734
"23","W","Public & Societal Benefit","Public, Societal Benefit",179,0.0144611407335595
"24","X","Religion-Related","Religion Related",276,0.0222976248182259
"25","Y","Mutual & Membership Benefit","Mutual/Membership Benefit",23,0.00185813540151882
"26","Z","Unknown","Unknown, Unclassified",11,0.000888673452900307
