EIN,FormYr,FormType,Name,State,MajorGroup,NTEE,NTEE.CC,UNIV,HOSP,TotalExpense,TotalEmployee,GrossReceipts,TotalAssests,CEOCompensation,Gender,TransitionYr,TRANS.D,ZIP5,LocationType,FIPS
630889927,2018,990,AUTAUGAWESTERN ELMORE ARC,AL,5,P,P82,FALSE,FALSE,2556710,92,2510254,2046841,87462.69,F,FALSE,TRUE,36068,Metropolitan,01001
631050217,2019,990,UNITED WAY OF BALDWIN COUNTY INC,AL,7,T,T70,FALSE,FALSE,854136,2,943402,1958424,89498.81000000001,F,FALSE,TRUE,36536,NA,01003
630510904,2018,990,COMMUNITY ACTION AGENCY OF,AL,2,B,B99,FALSE,FALSE,10174136,155,10301065,2326022,88611.55,F,FALSE,TRUE,36526,NA,01003
630888552,2018,990,CAHABA VALLEY HEALTH SERVICES INC,AL,4,E,E21,FALSE,TRUE,1868453,19,1984662,3092659,225743.36000000002,M,FALSE,TRUE,35042,Metropolitan,01007
465159049,2019,990,COMMUNITY CARE OF KENTUCKY INC,TN,4,E,E32,FALSE,FALSE,2252903,33,1476696,1389611,1392355.1,M,FALSE,TRUE,36207,Metropolitan,01015
636005468,2018,990,THE ARC OF THE CHATTAHOOCHEE VALLEY INC,AL,5,P,P82,FALSE,FALSE,2128751,28,1702692,2349195,75911.96,M,FALSE,TRUE,36854,Metropolitan,01017
630737968,2018,990,RURAL HEALTH MEDICAL PROGRAM INC,AL,4,E,E30,FALSE,FALSE,5455238,47,5565434,1590465,170135.92,U,FALSE,TRUE,36701,Metropolitan,01047
631270745,2018,990,THE BLACK BELT COMMUNITY FOUNDATION,AL,7,T,T31,FALSE,FALSE,6276661,76,7117198,3499261,171913.71000000002,F,FALSE,TRUE,36702,Metropolitan,01047
331021258,2018,990,ELMORE COUNTY ECONOMIC DEVELOPMENT,AL,7,S,S20,FALSE,FALSE,379139,2,484610,1139614,87287.20000000001,M,FALSE,TRUE,36092,Metropolitan,01051
630842141,2019,990,WE CARE PROGRAM,AL,5,I,I43,FALSE,FALSE,1428483,66,2298971,2054086,74994.18000000001,M,FALSE,TRUE,36502,Rural,01053
