EIN,m1,m2,m3,m4,m5
630889927,R,5,P,P8,P82
631050217,R,7,T,T7,T70
630510904,R,2,B,B9,B99
630888552,R,12,E,E2,E21
465159049,R,4,E,E3,E32
636005468,R,5,P,P8,P82
630737968,R,4,E,E3,E30
631270745,R,7,T,T3,T31
331021258,R,7,S,S2,S20
630842141,R,5,I,I4,I43
631180935,R,4,G,G2,G20
630788619,R,5,P,P7,P73
630760576,R,4,E,E3,E32
630887875,R,4,E,E8,E86
630375738,R,5,P,P8,P82
581885414,R,5,L,L2,L21
630809785,R,5,N,N6,N6A
630299894,R,5,P,P2,P27
630340866,R,5,O,O5,O53
630514348,R,5,O,O2,O23
630288868,R,7,U,U4,U40
260872042,R,8,X,X2,X20
630754793,S,4,E,E2,E20
582210003,R,8,X,X2,X21
630952490,R,4,G,G9,G90
630505899,R,5,P,P2,P20
630948472,R,5,P,P2,P28
630288854,R,5,P,P2,P20
260508897,R,5,P,P8,P80
630288848,R,5,P,P8,P84
630288811,R,11,B,B4,B42
630806841,R,5,P,P8,P82
630288810,R,3,D,D2,D20
630893496,R,4,G,G4,G48
721387424,R,3,C,C3,C32
630907544,R,4,E,E8,E86
630495111,S,3,C,C4,C40
630288811,R,11,B,B4,B42
630649108,R,4,E,E3,E31
630975262,R,5,P,P7,P73
260411498,R,2,B,B9,B90
630459034,R,12,E,E2,E24
630955721,R,5,P,P8,P80
631070727,R,5,L,L9,L99
630753358,R,4,E,E8,E86
636050895,S,1,A,A3,A32
630917530,R,7,S,S4,S43
631253854,R,4,F,F6,F60
630980210,R,5,P,P4,P46
630726127,R,5,L,L2,L22
311639601,R,5,P,P2,P20
201560119,S,7,S,S0,S12
631053191,R,5,P,P7,P70
630830280,R,5,P,P7,P74
630288852,R,12,E,E2,E20
630439459,R,2,B,B8,B84
636054092,R,7,S,S2,S21
630720189,R,2,B,B8,B84
582058795,R,5,P,P2,P27
630644957,R,1,A,A5,A51
237352886,S,2,B,B4,B40
270085899,R,5,P,P7,P73
630356666,R,2,B,B2,B20
630820386,R,5,P,P7,P74
630518148,R,5,P,P6,P60
630501382,R,7,S,S2,S20
630917400,R,5,I,I7,I72
630779657,R,7,U,U2,U21
630753361,R,7,S,S4,S41
630937704,R,12,E,E2,E21
630421430,R,5,O,O4,O42
630695166,R,7,T,T3,T31
262638504,R,5,J,J2,J22
636054097,R,5,P,P2,P20
630329409,R,11,B,B4,B43
630834450,R,8,X,X2,X20
630656140,R,4,F,F9,F99
630959628,R,4,G,G8,G81
630302145,R,5,P,P7,P70
630842355,R,7,T,T3,T31
630778800,R,7,U,U3,U33
630568762,R,4,E,E3,E30
630907890,S,5,P,P0,P01
636001820,R,12,E,E2,E22
300092712,R,7,S,S2,S21
630877006,R,5,P,P7,P74
630358762,R,7,T,T7,T70
630514875,R,7,T,T7,T70
630844906,R,4,F,F3,F33
237271062,R,8,X,X9,X99
630307953,R,8,X,X2,X20
630519483,R,7,S,S3,S32
630803491,S,2,B,B0,B11
630949219,R,5,L,L2,L20
630810661,S,4,E,E7,E70
631276483,R,4,E,E3,E30
920164510,S,7,T,T0,T12
161616595,R,1,A,A3,A30
943131778,R,5,P,P8,P82
920170234,R,11,B,B4,B41
920155014,R,3,C,C3,C34
920150193,S,2,B,B4,B40
770621661,R,4,G,G4,G48
920149995,R,7,S,S5,S50
911786519,R,7,S,S5,S50
920177787,R,7,S,S5,S50
731665266,R,5,P,P2,P20
920028571,R,5,P,P8,P82
237113202,R,7,R,R6,R60
510152394,R,4,F,F3,F32
920038588,R,4,F,F3,F33
920056272,S,4,E,E2,E22
920129264,R,4,F,F2,F22
