EIN,FormYr,FormType,Name,State,MajorGroup,NTEE,NTEE.CC,UNIV,HOSP,TotalExpense,TotalEmployee,GrossReceipts,TotalAssests,CEOCompensation,Gender,TransitionYr,TRANS.D,ZIP5,RUCA,LocationType,FIPS
630889927,2018,990,AUTAUGAWESTERN ELMORE ARC,AL,5,P,P82,FALSE,FALSE,2556710,92,2510254,2046841,94684.37999999999,F,FALSE,TRUE,36068,1.4166666666666667,Metropolitan,01001
630510904,2018,990,COMMUNITY ACTION AGENCY OF,AL,2,B,B99,FALSE,FALSE,10174136,155,10301065,2326022,95928.09999999999,F,FALSE,TRUE,36526,6.25,NA,01003
631050217,2019,990,UNITED WAY OF BALDWIN COUNTY INC,AL,7,T,T70,FALSE,FALSE,854136,2,943402,1958424,96888.62,F,FALSE,TRUE,36536,6.25,NA,01003
630888552,2018,990,CAHABA VALLEY HEALTH SERVICES INC,AL,4,E,E21,FALSE,TRUE,1868453,19,1984662,3092659,244382.72,M,FALSE,TRUE,35042,2,Metropolitan,01007
465159049,2019,990,COMMUNITY CARE OF KENTUCKY INC,TN,4,E,E32,FALSE,FALSE,2252903,33,1476696,1389611,1507320.2,M,FALSE,TRUE,36207,1.5806451612903225,Metropolitan,01015
636005468,2018,990,THE ARC OF THE CHATTAHOOCHEE VALLEY INC,AL,5,P,P82,FALSE,FALSE,2128751,28,1702692,2349195,82179.92,M,FALSE,TRUE,36854,4.111111111111111,Metropolitan,01017
631270745,2018,990,THE BLACK BELT COMMUNITY FOUNDATION,AL,7,T,T31,FALSE,FALSE,6276661,76,7117198,3499261,186108.41999999998,F,FALSE,TRUE,36702,5.466666666666667,Metropolitan,01047
630737968,2018,990,RURAL HEALTH MEDICAL PROGRAM INC,AL,4,E,E30,FALSE,FALSE,5455238,47,5565434,1590465,184183.84,U,FALSE,TRUE,36701,5.466666666666667,Metropolitan,01047
331021258,2018,990,ELMORE COUNTY ECONOMIC DEVELOPMENT,AL,7,S,S20,FALSE,FALSE,379139,2,484610,1139614,94494.4,M,FALSE,TRUE,36092,1.8666666666666667,Metropolitan,01051
630842141,2019,990,WE CARE PROGRAM,AL,5,I,I43,FALSE,FALSE,1428483,66,2298971,2054086,81186.36,M,FALSE,TRUE,36502,8,Rural,01053
631180935,2018,990,GREATER ETOWAH MR 310 BOARD INC,AL,4,G,G20,FALSE,FALSE,3832720,31,3813332,7079670,118731.59999999999,M,FALSE,TRUE,35902,1.5,Metropolitan,01055
630788619,2012,990,SOUTHEAST AL YOUTH SERVICES INC,AL,5,P,P73,FALSE,FALSE,3359718,79,3375290,2094964,95329.84,M,FALSE,TRUE,36303,1.3181818181818181,Metropolitan,01069
630760576,2018,990,NORTHEAST ALABAMA HEALTH SERVICES INC,AL,4,E,E32,FALSE,FALSE,5174937,60,5811301,6686441,177329.22,F,FALSE,TRUE,35768,4.7272727272727275,Metropolitan,01071
630495111,2019,990,THE BIRMINGHAM BOTANICAL SOCIETY INC,AL,3,C,C1140,FALSE,FALSE,2330305,23,3416659,20372156,223527.4,M,FALSE,TRUE,35223,1.0429447852760736,Metropolitan,01073
630907544,2019,990,SMILE-A-MILE,AL,4,E,E86,FALSE,FALSE,1579049,9,2116324,7140759,178115.09999999998,M,FALSE,TRUE,35233,1.0429447852760736,Metropolitan,01073
630980210,2018,990,UNITED COUNSELING,AL,5,P,P46,FALSE,FALSE,155862,2,145065,145820,93653.06,F,FALSE,TRUE,35213,1.0429447852760736,Metropolitan,01073
260411498,2019,990,MATTIE C STEWART FOUNDATION,AL,2,B,B90,FALSE,FALSE,329281,0,349332,199822,115707.26,F,FALSE,TRUE,35203,1.0429447852760736,Metropolitan,01073
721387424,2018,990,FRESHWATER LAND TRUST,AL,3,C,C32,FALSE,FALSE,982528,6,1054358,40736461,72355.23999999999,U,FALSE,TRUE,35203,1.0429447852760736,Metropolitan,01073
582210003,2019,990,UNITED METHODIST VOLUNTEERS IN MISS,AL,8,X,X21,FALSE,FALSE,205748,2,219498,116827,89531.31999999999,M,FALSE,TRUE,35201,1.0429447852760736,Metropolitan,01073
630299894,2019,990,THE YOUNG MEN'S CHRISTIAN ASSOCIATION OF,AL,5,P,P27,FALSE,FALSE,29328335,1886,30710895,56558338,324792.63999999996,M,FALSE,TRUE,35203,1.0429447852760736,Metropolitan,01073
630806841,2016,990,HOUSING AGENCY FOR RETARDED CITIZENS,AL,5,P,P82,FALSE,FALSE,276313,0,309004,365539,263674.54,M,FALSE,TRUE,35212,1.0429447852760736,Metropolitan,01073
581885414,2016,990,HARC III HOUSING INC,AL,5,L,L21,FALSE,FALSE,191887,0,199146,297864,263674.54,M,FALSE,TRUE,35212,1.0429447852760736,Metropolitan,01073
