EIN,type.org,two.digit,broad.category,letter,letter1,letter2,s.further,us.state,city.type
630889927,R,82,5,P,P8,P82,NA,TRUE,Metropolitan
631050217,R,70,7,T,T7,T70,NA,TRUE,NA
630510904,R,99,2,B,B9,B99,NA,TRUE,NA
630888552,R,21,12,E,E2,E21,NA,TRUE,Metropolitan
465159049,R,32,4,E,E3,E32,NA,TRUE,Metropolitan
636005468,R,82,5,P,P8,P82,NA,TRUE,Metropolitan
630737968,R,30,4,E,E3,E30,NA,TRUE,Metropolitan
631270745,R,31,7,T,T3,T31,NA,TRUE,Metropolitan
331021258,R,20,7,S,S2,S20,NA,TRUE,Metropolitan
630842141,R,43,5,I,I4,I43,NA,TRUE,Rural
631180935,R,20,4,G,G2,G20,NA,TRUE,Metropolitan
630788619,R,73,5,P,P7,P73,NA,TRUE,Metropolitan
630760576,R,32,4,E,E3,E32,NA,TRUE,Metropolitan
630887875,R,86,4,E,E8,E86,NA,TRUE,Metropolitan
630375738,R,82,5,P,P8,P82,NA,TRUE,Metropolitan
581885414,R,21,5,L,L2,L21,NA,TRUE,Metropolitan
630809785,R,6A,5,N,N6,N6A,NA,TRUE,Metropolitan
630299894,R,27,5,P,P2,P27,NA,TRUE,Metropolitan
630340866,R,53,5,O,O5,O53,NA,TRUE,Metropolitan
630514348,R,23,5,O,O2,O23,NA,TRUE,Metropolitan
630288868,R,40,7,U,U4,U40,NA,TRUE,Metropolitan
260872042,R,20,8,X,X2,X20,NA,TRUE,Metropolitan
630754793,S,19,4,E,E0,E19,E20,TRUE,Metropolitan
582210003,R,21,8,X,X2,X21,NA,TRUE,Metropolitan
630952490,R,90,4,G,G9,G90,NA,TRUE,Metropolitan
630505899,R,20,5,P,P2,P20,NA,TRUE,Metropolitan
630948472,R,28,5,P,P2,P28,NA,TRUE,Metropolitan
630288854,R,20,5,P,P2,P20,NA,TRUE,Metropolitan
260508897,R,80,5,P,P8,P80,NA,TRUE,Metropolitan
630288848,R,84,5,P,P8,P84,NA,TRUE,Metropolitan
630288811,R,42,11,B,B4,B42,NA,TRUE,Metropolitan
630806841,R,82,5,P,P8,P82,NA,TRUE,Metropolitan
630288810,R,20,3,D,D2,D20,NA,TRUE,Metropolitan
630893496,R,48,4,G,G4,G48,NA,TRUE,Metropolitan
721387424,R,32,3,C,C3,C32,NA,TRUE,Metropolitan
630907544,R,86,4,E,E8,E86,NA,TRUE,Metropolitan
630495111,S,11,3,C,C0,C11,C40,TRUE,Metropolitan
630649108,R,31,4,E,E3,E31,NA,TRUE,Metropolitan
630975262,R,73,5,P,P7,P73,NA,TRUE,Metropolitan
260411498,R,90,2,B,B9,B90,NA,TRUE,Metropolitan
630459034,R,24,12,E,E2,E24,NA,TRUE,Metropolitan
630955721,R,80,5,P,P8,P80,NA,TRUE,Metropolitan
631070727,R,99,5,L,L9,L99,NA,TRUE,Metropolitan
630753358,R,86,4,E,E8,E86,NA,TRUE,Metropolitan
636050895,S,11,1,A,A0,A11,A32,TRUE,Metropolitan
630917530,R,43,7,S,S4,S43,NA,TRUE,Metropolitan
631253854,R,60,4,F,F6,F60,NA,TRUE,Metropolitan
630980210,R,46,5,P,P4,P46,NA,TRUE,Metropolitan
630726127,R,22,5,L,L2,L22,NA,TRUE,Metropolitan
311639601,R,20,5,P,P2,P20,NA,TRUE,Metropolitan
201560119,S,12,7,S,S0,S12,NA,TRUE,Metropolitan
631053191,R,70,5,P,P7,P70,NA,TRUE,Metropolitan
630830280,R,74,5,P,P7,P74,NA,TRUE,Metropolitan
630288852,R,20,12,E,E2,E20,NA,TRUE,Metropolitan
630439459,R,84,2,B,B8,B84,NA,TRUE,Metropolitan
636054092,R,21,7,S,S2,S21,NA,TRUE,Metropolitan
630720189,R,84,2,B,B8,B84,NA,TRUE,Metropolitan
582058795,R,27,5,P,P2,P27,NA,TRUE,Metropolitan
630644957,R,51,1,A,A5,A51,NA,TRUE,Metropolitan
237352886,S,11,2,B,B0,B11,B40,TRUE,Metropolitan
270085899,R,73,5,P,P7,P73,NA,TRUE,Metropolitan
630356666,R,20,2,B,B2,B20,NA,TRUE,Metropolitan
630820386,R,74,5,P,P7,P74,NA,TRUE,Metropolitan
630518148,R,60,5,P,P6,P60,NA,TRUE,Metropolitan
630501382,R,20,7,S,S2,S20,NA,TRUE,Metropolitan
630917400,R,72,5,I,I7,I72,NA,TRUE,Metropolitan
630779657,R,21,7,U,U2,U21,NA,TRUE,Metropolitan
630753361,R,41,7,S,S4,S41,NA,TRUE,Metropolitan
630937704,R,21,12,E,E2,E21,NA,TRUE,Metropolitan
630421430,R,42,5,O,O4,O42,NA,TRUE,Metropolitan
630695166,R,31,7,T,T3,T31,NA,TRUE,Metropolitan
262638504,R,22,5,J,J2,J22,NA,TRUE,Metropolitan
636054097,R,20,5,P,P2,P20,NA,TRUE,Metropolitan
630329409,R,43,11,B,B4,B43,NA,TRUE,Metropolitan
630834450,R,20,8,X,X2,X20,NA,TRUE,Metropolitan
630656140,R,99,4,F,F9,F99,NA,TRUE,Metropolitan
630959628,R,81,4,G,G8,G81,NA,TRUE,Metropolitan
630302145,R,70,5,P,P7,P70,NA,TRUE,Metropolitan
630842355,R,31,7,T,T3,T31,NA,TRUE,Metropolitan
630778800,R,33,7,U,U3,U33,NA,TRUE,Metropolitan
630568762,R,30,4,E,E3,E30,NA,TRUE,Metropolitan
630907890,S,01,5,P,P0,P01,NA,TRUE,Metropolitan
636001820,R,22,12,E,E2,E22,NA,TRUE,Metropolitan
300092712,R,21,7,S,S2,S21,NA,TRUE,Metropolitan
630877006,R,74,5,P,P7,P74,NA,TRUE,Metropolitan
630358762,R,70,7,T,T7,T70,NA,TRUE,Metropolitan
630514875,R,70,7,T,T7,T70,NA,TRUE,Metropolitan
630844906,R,33,4,F,F3,F33,NA,TRUE,Metropolitan
237271062,R,99,8,X,X9,X99,NA,TRUE,Metropolitan
630307953,R,20,8,X,X2,X20,NA,TRUE,Metropolitan
630519483,R,32,7,S,S3,S32,NA,TRUE,Metropolitan
630803491,S,11,2,B,B0,B11,NA,TRUE,Metropolitan
630949219,R,20,5,L,L2,L20,NA,TRUE,Metropolitan
630810661,S,11,4,E,E0,E11,E70,TRUE,Metropolitan
631276483,R,30,4,E,E3,E30,NA,TRUE,Metropolitan
920164510,S,12,7,T,T0,T12,NA,TRUE,Metropolitan
161616595,R,30,1,A,A3,A30,NA,TRUE,Metropolitan
943131778,R,82,5,P,P8,P82,NA,TRUE,Metropolitan
920170234,R,41,11,B,B4,B41,NA,TRUE,Metropolitan
920155014,R,34,3,C,C3,C34,NA,TRUE,Metropolitan
920150193,S,11,2,B,B0,B11,B40,TRUE,Metropolitan
770621661,R,48,4,G,G4,G48,NA,TRUE,Metropolitan
920149995,R,50,7,S,S5,S50,NA,TRUE,Metropolitan
911786519,R,50,7,S,S5,S50,NA,TRUE,Metropolitan
920177787,R,50,7,S,S5,S50,NA,TRUE,Metropolitan
731665266,R,20,5,P,P2,P20,NA,TRUE,Metropolitan
920028571,R,82,5,P,P8,P82,NA,TRUE,Metropolitan
237113202,R,60,7,R,R6,R60,NA,TRUE,Metropolitan
510152394,R,32,4,F,F3,F32,NA,TRUE,Metropolitan
920038588,R,33,4,F,F3,F33,NA,TRUE,Metropolitan
920056272,S,03,4,E,E0,E03,E22,TRUE,Metropolitan
920129264,R,22,4,F,F2,F22,NA,TRUE,Metropolitan
800064172,R,31,5,O,O3,O31,NA,TRUE,Metropolitan
920047965,R,32,4,E,E3,E32,NA,TRUE,Metropolitan
920117008,R,28,2,B,B2,B28,NA,TRUE,Metropolitan
920140434,S,19,5,L,L0,L19,L20,TRUE,Metropolitan
270502649,R,21,2,B,B2,B21,NA,TRUE,Metropolitan
920145727,R,84,5,P,P8,P84,NA,TRUE,Metropolitan
926002175,R,61,4,E,E6,E61,NA,TRUE,Metropolitan
920071466,R,42,4,F,F4,F42,NA,TRUE,Metropolitan
